name,AP,R@100,nDCG@10,fold,best_k1,best_b,best_fb_docs,best_fb_terms,best_fb_lambda,best_w
SPLADE,0.21012679471844603,0.3771033076894595,0.39576287760904244,1,1.2,0.75,10,15,0.5,5
BM25 (tuned),0.19979503508445806,0.36988221732931137,0.3712895516551298,1,1.2,0.75,10,15,0.5,5
Best Hybrid (CV),0.23928417193789453,0.3988325006293392,0.4283025538487661,1,1.2,0.75,10,15,0.5,5
SPLADE,0.23341248641608614,0.36647066384814975,0.4853988172278477,2,1.2,0.75,10,15,0.5,5
BM25 (tuned),0.24005980339540323,0.3866585740060509,0.5038523292867165,2,1.2,0.75,10,15,0.5,5
Best Hybrid (CV),0.28002055962524314,0.4123379343587874,0.55245279423298,2,1.2,0.75,10,15,0.5,5
SPLADE,0.2431951774373573,0.3762158121506968,0.4902065039347707,3,1.2,0.75,10,15,0.5,5
BM25 (tuned),0.2410510304264345,0.3895619388755969,0.4240044572954326,3,1.2,0.75,10,15,0.5,5
Best Hybrid (CV),0.27387048195442626,0.3976581918655363,0.5163143903012704,3,1.2,0.75,10,15,0.5,5
SPLADE,0.22072156170951118,0.36884628027377153,0.46562492516225773,4,1.2,0.75,10,15,0.5,5
BM25 (tuned),0.2380172326839331,0.4129895238210038,0.39494053456026834,4,1.2,0.75,10,15,0.5,5
Best Hybrid (CV),0.2610155818868829,0.40975527397950257,0.49672873047472743,4,1.2,0.75,10,15,0.5,5
SPLADE,0.21828541206583607,0.37722400486509305,0.43675479005301393,5,1.2,0.75,10,15,0.5,5
BM25 (tuned),0.26600471058461095,0.4479308413862463,0.42808758539216973,5,1.2,0.75,10,15,0.5,5
Best Hybrid (CV),0.2574305070310509,0.41216737838804657,0.47457852846997445,5,1.2,0.75,10,15,0.5,5
